building,Address,year,sqFt
200_Division_Street_Building,200 Division St.,1948.0,21147
212_East_2nd_St.,212 East 2nd St.,1947,3276
216_College_St._(Reynolds),216 College St. S.,1894,4017
Alumni_Guest_House/Johnson_House,100 College St. S. (AGH) & 308 1st St. E. (Johnson House),1992,20337
Arboretum_Office,710 Three Oaks Drive,1989,2952
Bird_House,400 1st St. E.,1920,4780
Boliou_Memorial_Art_Bldg.,505 Goodsell Circle (1st Fl.) & 510 Lyman Dr. (Ground Fl.),1950,30547
Center_for_Mathematics_&_Computing,509 Goodsell Circle,1993,42300
Facilities_Building/_Steam_Plant,301 Union St. N. (Facilities Building) & 300 Division St. N. (Steam Plant),1910,33104
Goodsell_Observatory,301 Goodsell Circle,1888,11981
Gould_Memorial_Library,405 Gould Lane,1956,111220
Henry_House,107 Union St. S.,1915,3000
Hoppin_House_(Alumni),420 1st St. E.,1885,3379
Laird_Hall,301 Winona St. N. (1st-3rd Fl.) & 510 Goodsell Circle (Basement),1906,22625
Language_&_Dining_Center,206 Maple St. N.,2001,64000
Leighton_Hall,302 College St. N. (2nd-4th Fl.) & 308 College St. N. (1st Fl.),1920,37641
Mudd_Hall_of_Science,200 Nevada St. N.,1975,56522
Music_and_Drama_Center,109 Nevada St. N. (Arena Theater) &  110 Winona St. N. (Concert Hall),1971,49978
Music_Hall,214 Winona St. N.,1915,16515
Olin_Hall_of_Science,215 Goodsell Circle,1961,54899
Sayles-Hill,209 College St. N.,1910,44875
Scoville_Hall,105 College St. N.,1897,14368
Strong_House,118 College St. S.,1900,4566
Weitz_Center_for_Creativity,320 3rd St. E.,2011,135000
Willis_Memorial_Hall,201 College St. N.,1873,NA
