"MAPM","Music","score5","score6","Score.Categ6","Score.Categ5","MapMScore"
236,"no",462,457,"Advanced","Advanced","Grade"
237,"no",452,464,"Advanced","Proficient","Grade"
227,"no",NA,NA,"","","Grade"
224,"no",417,436,"Proficient","Proficient","Grade"
228,"no",NA,423,"","","Grade"
214,"no",388,393,"Below","Below","Below"
219,"yes",404,464,"Advanced","Proficient","Grade"
227,"no",NA,NA,"","","Grade"
227,"no",445,436,"Proficient","Proficient","Grade"
237,"no",471,448,"Proficient","Advanced","Grade"
222,"no",NA,NA,"","","Grade"
217,"yes",400,410,"Proficient","Proficient","Below"
225,"yes",418,451,"Advanced","Proficient","Grade"
223,"yes",408,428,"Proficient","Proficient","Grade"
214,"no",NA,NA,"","","Below"
230,"yes",448,451,"Advanced","Proficient","Grade"
237,"yes",433,416,"Proficient","Proficient","Grade"
239,"no",467,464,"Advanced","Advanced","Grade"
247,"no",NA,NA,"","","Grade"
220,"yes",390,420,"Proficient","Below","Grade"
222,"no",414,430,"Proficient","Proficient","Grade"
221,"no",415,442,"Proficient","Proficient","Grade"
218,"yes",388,411,"Proficient","Proficient","Below"
233,"yes",471,454,"Advanced","Advanced","Grade"
206,"no",NA,NA,"","","Below"
237,"no",462,461,"Advanced","Advanced","Grade"
215,"yes",386,380,"Below","Below","Below"
224,"no",440,464,"Advanced","Proficient","Grade"
216,"yes",419,458,"Advanced","Proficient","Below"
237,"no",467,478,"Advanced","Advanced","Grade"
229,"yes",429,442,"Proficient","Proficient","Grade"
220,"no",426,488,"Advanced","Proficient","Grade"
246,"yes",408,442,"Proficient","Proficient","Grade"
190,"no",NA,NA,"","","Below"
239,"no",NA,NA,"","","Grade"
221,"no",410,387,"Below","Proficient","Grade"
231,"yes",445,443,"Proficient","Proficient","Grade"
212,"yes",416,397,"Proficient","Proficient","Below"
229,"yes",435,442,"Proficient","Proficient","Grade"
223,"no",NA,421,"Proficient","","Grade"
225,"yes",NA,NA,"","","Grade"
227,"no",NA,NA,"","","Grade"
221,"yes",401,401,"Proficient","Proficient","Grade"
222,"no",414,439,"Proficient","Proficient","Grade"
207,"no",NA,NA,"","","Grade"
228,"yes",398,445,"Proficient","Proficient","Grade"
230,"yes",418,438,"Proficient","Proficient","Grade"
240,"yes",448,469,"Advanced","Proficient","Grade"
201,"no",NA,NA,"","","Below"
233,"no",455,NA,"","Advanced","Grade"
213,"yes",392,NA,"","Proficient","Below"
234,"yes",455,NA,"","Advanced","Grade"
228,"yes",436,NA,"","Proficient","Grade"
230,"no",428,NA,"","Proficient","Grade"
233,"no",NA,NA,"","","Grade"
223,"no",NA,NA,"","","Grade"
225,"yes",455,NA,"","Advanced","Grade"
247,"yes",409,NA,"","Proficient","Grade"
228,"yes",403,NA,"","Proficient","Grade"
205,"yes",NA,NA,"","","Below"
184,"no",370,378,"Below","Below","Below"
221,"yes",414,437,"Proficient","Proficient","Grade"
227,"no",NA,NA,"","","Grade"
221,"yes",417,426,"Proficient","Proficient","Grade"
212,"no",NA,NA,"","","Below"
243,"no",504,477,"Advanced","Advanced","Grade"
246,"no",471,483,"Advanced","Advanced","Grade"
219,"no",420,443,"Proficient","Proficient","Below"
226,"yes",426,429,"Proficient","Proficient","Grade"
231,"no",452,478,"Advanced","Proficient","Grade"
201,"no",361,368,"Below","Below","Below"
207,"no",384,421,"Proficient","Below","Below"
203,"yes",379,420,"Proficient","Below","Below"
236,"yes",454,454,"Advanced","Advanced","Grade"
235,"yes",458,482,"Advanced","Advanced","Grade"
202,"no",344,368,"Below","Below","Below"
242,"yes",471,454,"Advanced","Advanced","Grade"
208,"no",395,383,"Below","Proficient","Below"
219,"yes",NA,395,"Proficient","","Grade"
213,"no",NA,395,"Proficient","","Below"
216,"no",NA,397,"Proficient","","Below"
228,"yes",416,437,"Proficient","Proficient","Grade"
218,"no",NA,NA,"","","Below"
208,"yes",404,397,"Proficient","Proficient","Below"
211,"no",392,391,"Below","Proficient","Below"
201,"no",370,378,"Below","Below","Below"
241,"yes",455,448,"Advanced","Advanced","Grade"
226,"no",399,417,"Proficient","Proficient","Grade"
195,"no",NA,NA,"","","Below"
203,"no",NA,NA,"","","Below"
241,"no",471,458,"Advanced","Advanced","Grade"
234,"no",449,454,"Advanced","Proficient","Grade"
211,"yes",385,399,"Proficient","Below","Below"
215,"no",416,417,"Proficient","Proficient","Below"
190,"no",NA,NA,"","","Below"
205,"yes",388,414,"Proficient","Below","Below"
246,"yes",462,498,"Advanced","Advanced","Grade"
214,"yes",NA,NA,"","","Below"
205,"no",NA,NA,"","","Below"
233,"no",399,426,"Proficient","Proficient","Grade"
232,"yes",419,448,"Advanced","Proficient","Grade"
227,"yes",414,431,"Proficient","Proficient","Grade"
234,"yes",431,460,"Advanced","Proficient","Grade"
212,"no",NA,NA,"","","Below"
199,"no",NA,NA,"","","Below"
248,"yes",476,498,"Advanced","Advanced","Grade"
227,"yes",440,430,"Proficient","Proficient","Grade"
221,"no",394,413,"Proficient","Proficient","Grade"
241,"yes",439,464,"Advanced","Proficient","Grade"
241,"yes",454,473,"Advanced","Advanced","Grade"
218,"yes",402,418,"Proficient","Proficient","Below"
180,"no",NA,NA,"","","Below"
255,"no",489,488,"Advanced","Advanced","Grade"
226,"yes",454,458,"Advanced","Advanced","Grade"
234,"yes",445,458,"Advanced","Proficient","Grade"
221,"no",419,417,"Proficient","Proficient","Grade"
244,"no",462,460,"Advanced","Advanced","Grade"
235,"yes",436,451,"Advanced","Proficient","Grade"
217,"yes",433,412,"Proficient","Proficient","Below"
216,"yes",445,424,"Proficient","Proficient","Below"
224,"no",NA,NA,"","","Grade"
227,"yes",NA,NA,"","","Grade"
248,"no",454,460,"Advanced","Advanced","Grade"
236,"no",439,478,"Advanced","Proficient","Grade"
229,"yes",440,454,"Advanced","Proficient","Grade"
215,"no",NA,NA,"","","Below"
225,"no",363,388,"Below","Below","Grade"
191,"no",NA,NA,"","","Below"
200,"no",NA,NA,"","","Below"
215,"yes",398,385,"Below","Proficient","Below"
241,"no",476,457,"Advanced","Advanced","Grade"
232,"yes",428,428,"Proficient","Proficient","Grade"
211,"no",400,393,"Below","Proficient","Below"
207,"no",400,408,"Proficient","Proficient","Below"
203,"no",415,368,"Below","Proficient","Below"
214,"no",NA,NA,"","","Below"
213,"no",398,407,"Proficient","Proficient","Below"
209,"no",373,371,"Below","Below","Below"
221,"no",426,418,"Proficient","Proficient","Grade"
219,"no",NA,NA,"","","Below"
194,"no",NA,NA,"","","Below"
201,"no",NA,NA,"","","Below"
225,"yes",399,416,"Proficient","Proficient","Grade"
229,"no",436,438,"Proficient","Proficient","Grade"
228,"no",427,448,"Advanced","Proficient","Grade"
224,"no",NA,NA,"","","Grade"
226,"no",428,442,"Proficient","Proficient","Grade"
239,"yes",489,454,"Advanced","Advanced","Grade"
225,"no",408,414,"Proficient","Proficient","Grade"
231,"no",448,448,"Advanced","Proficient","Grade"
218,"yes",406,425,"Proficient","Proficient","Below"
221,"yes",408,419,"Proficient","Proficient","Grade"
248,"yes",471,507,"Advanced","Advanced","Grade"
201,"no",368,373,"Below","Below","Below"
202,"no",NA,NA,"","","Below"
234,"yes",432,448,"Advanced","Proficient","Grade"
202,"no",NA,NA,"","","Below"
194,"no",353,382,"Below","Below","Below"
206,"yes",388,391,"Below","Below","Below"
215,"yes",427,413,"Proficient","Proficient","Below"
230,"yes",433,451,"Advanced","Proficient","Grade"
247,"no",497,498,"Advanced","Advanced","Grade"
243,"no",489,488,"Advanced","Advanced","Grade"
207,"no",398,391,"Below","Proficient","Below"
218,"no",417,410,"Proficient","Proficient","Below"
222,"no",404,426,"Proficient","Proficient","Grade"
222,"no",NA,NA,"","","Grade"
204,"no",392,373,"Below","Proficient","Below"
248,"no",476,461,"Advanced","Advanced","Grade"
215,"yes",409,421,"Proficient","Proficient","Below"
233,"yes",426,440,"Proficient","Proficient","Grade"
213,"yes",407,417,"Proficient","Proficient","Below"
217,"no",390,403,"Proficient","Below","Below"
200,"no",342,389,"Below","Below","Below"
217,"no",424,429,"Proficient","Proficient","Below"
230,"no",430,418,"Proficient","Proficient","Grade"
227,"no",440,454,"Advanced","Proficient","Grade"
224,"no",418,401,"Proficient","Proficient","Grade"
216,"no",NA,NA,"","","Below"
227,"yes",NA,NA,"","","Grade"
224,"yes",440,458,"Advanced","Proficient","Grade"
220,"no",418,410,"Proficient","Proficient","Grade"
224,"no",NA,NA,"","","Grade"
227,"no",430,448,"Advanced","Proficient","Grade"
199,"yes",390,395,"Below","Below","Below"
206,"yes",404,418,"Proficient","Proficient","Below"
229,"no",428,473,"Advanced","Proficient","Grade"
230,"no",445,464,"Advanced","Proficient","Grade"
223,"no",NA,NA,"","","Grade"
220,"yes",439,448,"Advanced","Proficient","Grade"
219,"no",388,411,"Proficient","Below","Below"
234,"yes",476,483,"Advanced","Proficient","Grade"
239,"no",NA,NA,"","","Grade"
218,"yes",414,438,"Proficient","Proficient","Below"
226,"yes",419,431,"Proficient","Proficient","Grade"
190,"no",NA,NA,"","","Below"
213,"yes",396,397,"Proficient","Proficient","Below"
239,"yes",471,458,"Advanced","Advanced","Grade"
205,"no",351,368,"Below","Below","Below"
211,"yes",400,393,"Below","Proficient","Below"
213,"no",NA,NA,"","","Below"
214,"no",408,391,"Below","Proficient","Below"
217,"yes",390,404,"Proficient","Proficient","Below"
227,"no",NA,NA,"","","Grade"
212,"yes",400,418,"Proficient","Proficient","Below"
201,"no",NA,NA,"","","Below"
221,"no",416,422,"Proficient","Proficient","Grade"
205,"yes",390,387,"Below","Below","Below"
217,"no",419,425,"Proficient","Proficient","Below"
209,"yes",377,397,"Proficient","Below","Below"
244,"yes",466,483,"Advanced","Advanced","Grade"
244,"no",452,473,"Advanced","Proficient","Grade"
185,"yes",375,373,"Below","Below","Below"
213,"no",385,402,"Proficient","Below","Below"
234,"no",NA,NA,"","","Grade"
212,"yes",413,423,"Proficient","Proficient","Below"
229,"no",NA,NA,"","","Grade"
217,"yes",405,430,"Proficient","Proficient","Below"
209,"no",413,414,"Proficient","Proficient","Below"
215,"yes",NA,NA,"","","Below"
239,"no",402,419,"Proficient","Proficient","Grade"
219,"no",458,458,"Advanced","Advanced","Below"
245,"yes",482,458,"Advanced","Advanced","Grade"
216,"no",414,409,"Proficient","Proficient","Below"
206,"yes",390,395,"Below","Below","Below"
