ID,Gender,StartYr,DeptCode,BeginSalaries,Salaries1991,Rank
671,Female,1975,8,8900,35000,AssoProf
325,Male,1968,8,7500,43000,Professr
155,Female,1984,5,17550,26000,AsstProf
994,Male,1972,1,9100,51100,Professr
936,Male,1978,8,22200,49200,Professr
73,Male,1975,8,14000,44900,Professr
613,Male,1983,3,22500,34400,AsstProf
312,Female,1979,7,17655,40600,Professr
363,Male,1981,5,19000,35200,AssoProf
952,Male,1972,3,9500,40600,Professr
857,Male,1983,8,19000,29400,AsstProf
736,Male,1973,4,12300,43800,Professr
783,Male,1981,4,19000,36800,Professr
852,Male,1968,4,10500,49200,Professr
27,Male,1981,8,15910,30200,AssoProf
242,Male,1971,3,11500,47500,Professr
144,Male,1972,6,12000,45800,Professr
383,Male,1971,8,12000,46800,Professr
37,Female,1972,7,11400,43200,Professr
242,Male,1986,1,19000,24500,Instruct
388,Female,1982,1,14500,34100,Professr
359,Female,1986,4,23000,29600,AssoProf
859,Male,1968,4,10800,51000,Professr
716,Male,1968,5,9600,47600,Professr
624,Male,1972,3,12000,45900,Professr
983,Male,1967,8,11000,51500,Professr
771,Female,1977,8,13000,36300,Professr
156,Female,1983,4,17000,27600,AssoProf
337,Male,1970,5,11500,46800,Professr
649,Male,1969,8,10800,47600,Professr
366,Female,1972,7,11000,43000,Professr
270,Female,1985,5,21000,28700,AsstProf
636,Male,1971,8,10500,43800,Professr
722,Male,1969,6,11000,48400,Professr
684,Male,1967,4,9100,47700,Professr
455,Female,1967,3,12000,53900,Professr
314,Male,1975,8,12000,39900,Professr
511,Male,1967,1,8750,47000,Professr
678,Male,1982,5,16000,27500,AsstProf
429,Female,1987,2,21000,25500,AsstProf
367,Male,1971,5,10000,42200,Professr
127,Male,1967,8,8500,46500,Professr
447,Male,1976,3,14000,41600,Professr
135,Male,1972,7,10000,41000,Professr
299,Male,1970,6,11100,46700,Professr
249,Male,1971,3,9600,41600,Professr
590,Male,1969,2,10000,45900,Professr
651,Male,1971,2,10500,43100,Professr
116,Male,1972,5,8200,37700,Professr
208,Male,1983,5,22000,35100,Professr
367,Male,1967,6,10200,49400,Professr
648,Male,1969,4,10300,47600,Professr
724,Female,1972,6,10000,41000,Professr
850,Male,1976,5,13250,40300,Professr
300,Female,1973,6,11400,42300,Professr
115,Male,1972,7,10500,43200,Professr
732,Male,1968,2,9000,46900,Professr
396,Female,1969,3,12550,52300,Professr
565,Male,1967,3,9000,47600,Professr
572,Male,1969,7,10200,47400,Professr
604,Female,1969,8,9000,43900,Professr
266,Female,1968,2,8000,45500,Professr
300,Male,1967,6,8800,47400,Professr
422,Male,1969,1,11500,51100,Professr
867,Female,1974,6,12800,42600,Professr
740,Male,1966,3,8160,48200,Professr
607,Male,1967,6,8500,46100,Professr
193,Male,1969,6,8500,43100,Professr
285,Male,1981,5,16000,30300,AssoProf
641,Male,1972,6,11000,42400,Professr
642,Male,1966,1,10000,50900,Professr
973,Female,1983,5,18000,28300,AsstProf
109,Male,1967,1,9600,47900,Professr
464,Female,1966,5,9800,51300,Professr
593,Male,1967,3,10000,50700,Professr
525,Male,1969,3,8500,42800,Professr
359,Female,1971,6,10200,45100,Professr
124,Female,1970,8,9750,44600,Professr
908,Male,1967,4,9000,48200,Professr
289,Male,1966,4,8000,48100,Professr
496,Male,1965,3,7500,47600,Professr
924,Female,1970,3,9250,44400,Professr
751,Male,1967,4,11600,52500,Professr
611,Male,1971,6,9500,43400,Professr
444,Female,1965,5,9600,50900,Professr
354,Male,1972,1,9500,39800,Professr
245,Male,1969,6,9200,44600,Professr
328,Male,1966,6,9800,53800,Professr
169,Female,1970,2,8500,41300,Professr
865,Male,1970,3,8500,41500,Professr
519,Male,1985,5,21500,29400,AsstProf
368,Male,1969,4,8300,42600,Professr
847,Female,1971,5,10000,42600,Professr
292,Male,1976,8,15000,41100,Professr
340,Female,1965,3,8400,47500,Professr
685,Male,1968,2,8000,44100,Professr
187,Male,1967,1,10800,52600,Professr
822,Male,1970,8,10000,44300,Professr
196,Female,1967,8,7200,44000,Professr
492,Male,1966,1,10500,51000,Professr
931,Female,1969,1,8500,43100,Professr
523,Male,1966,2,8300,46700,Professr
660,Male,1969,1,8500,43500,Professr
14,Male,1968,3,8160,44400,Professr
441,Female,1967,4,7200,43900,Professr
429,Male,1967,3,9300,48300,Professr
484,Male,1967,2,8300,46300,Professr
785,Female,1968,5,8160,44500,Professr
242,Male,1969,2,8950,46300,Professr
468,Female,1967,6,7500,44400,Professr
166,Male,1969,5,9000,43700,Professr
772,Male,1968,6,11500,51600,Professr
419,Female,1969,8,8300,44100,Professr
910,Female,1966,8,8500,47200,Professr
193,Female,1970,2,8950,43000,Professr
722,Male,1968,7,8500,45600,Professr
701,Female,1972,6,8800,38700,Professr
516,Female,1971,2,8500,39500,Professr
151,Male,1971,3,8800,40600,Professr
898,Female,1975,2,10700,36400,Professr
1,Female,1967,4,7500,43400,Professr
906,Female,1970,3,8500,41000,Professr
403,Female,1981,4,16000,30300,AssoProf
320,Male,1970,8,9000,42400,Professr
625,Female,1968,6,8160,44800,Professr
554,Female,1978,4,13000,33100,Professr
744,Female,1971,8,8400,39300,Professr
155,Male,1967,8,10300,50900,Professr
537,Male,1967,3,7500,44700,Professr
31,Male,1968,8,7500,44000,Professr
80,Male,1969,2,8300,43900,Professr
177,Male,1980,8,14500,31200,AssoProf
297,Female,1977,4,12000,33100,Professr
393,Female,1980,2,15000,32800,Professr
641,Male,1967,1,8500,45300,Professr
282,Female,1970,8,8200,39700,Professr
558,Male,1965,6,11000,54300,Professr
349,Male,1965,3,8160,47300,Professr
996,Male,1974,6,10500,38400,Professr
405,Female,1972,6,8800,40100,Professr
978,Male,1970,3,8000,42000,Professr
987,Female,1985,4,17000,25300,AsstProf
824,Male,1985,5,18000,24600,Instruct
430,Female,1974,8,9400,35600,Professr
392,Female,1972,3,8800,40000,Professr
513,Male,1969,6,8300,43100,Professr
474,Male,1975,3,9500,35200,Professr
252,Male,1982,2,15500,27800,AssoProf
872,Male,1973,7,11000,40400,Professr
840,Male,1970,3,8500,39800,Professr
244,Female,1975,1,10700,36100,Professr
217,Female,1980,5,12960,28700,AssoProf
486,Female,1969,7,8000,42600,Professr
333,Female,1981,5,16500,32100,Professr
797,Female,1976,7,11000,33700,Professr
962,Male,1981,5,16500,31800,Professr
577,Male,1966,3,6800,43600,Professr
623,Female,1975,2,10200,34600,Professr
850,Female,1978,5,10000,28000,Professr
974,Female,1979,8,13250,29500,AsstProf
492,Male,1968,6,10600,44400,Professr
389,Female,1981,5,15000,30200,Professr
788,Male,1981,8,14450,28100,AssoProf
346,Female,1975,2,11700,37600,Professr
179,Female,1975,2,11200,37600,Professr
209,Female,1976,5,10000,31700,Professr
828,Male,1982,6,14500,26600,AssoProf
709,Female,1983,5,14000,22600,AsstProf
693,Female,1976,1,10000,31900,Professr
857,Female,1984,1,16000,24000,AsstProf
134,Male,1981,5,13750,26700,AsstProf
